State	NO2	O3	SO2	CO	Date
Indiana	13.23063003	0.032806516	4.806982413	0.42141313	2005
Indiana	13.92275214	0.024199563	9.943560213	0.654827132	2006
Indiana	11.03799416	0.03182974	3.385712667	0.451713751	2007
Indiana	9.288780685	0.028749516	2.450009717	0.420828266	2008
Indiana	10.13562379	0.025930056	1.527114605	0.232983119	2009
Indiana	9.392295469	0.029449952	2.973335769	0.163544463	2010
Indiana	9.906356071	0.03377056	1.363555359	0.056847478	2011
Indiana	9.840462542	0.03576251	0.844479451	0.401090699	2012
Indiana	10.36200123	0.028501503	2.169481035	0.26966094	2013
Indiana	11.33361768	0.027034701	2.450405676	0.229563332	2014
Indiana	13.48954216	0.026216805	1.251169649	0.246694703	2015
Indiana	13.85747808	0.02654232	0.40434399	0.243488557	2016
Iowa	8.230118	0.016324806	0.474706742	0.209625677	2006
Iowa	7.35855768	0.028938931	0.54321733	0.254134703	2007
Iowa	7.463026111	0.027259209	0.448813236	0.256258285	2008
Iowa	6.99674808	0.026158571	0.314539624	0.241205684	2009
Iowa	7.503803251	0.028705162	0.390955671	0.249197104	2010
Iowa	7.370355409	0.028016854	0.500940751	0.208536354	2011
Iowa	7.579421651	0.029344552	0.415098682	0.217591018	2012
Iowa	6.766695505	0.028334607	0.401613127	0.203026567	2013
Iowa	6.348770536	0.026640816	0.409734818	0.201997016	2014
Iowa	6.067910474	0.027443918	0.395205017	0.206672582	2015
Iowa	5.99489478	0.030609082	0.197277615	0.207392242	2016
Kansas	9.703852443	0.029725577	0.933504325	0.756692255	2000
Kansas	10.59490916	0.027977983	1.003458479	0.332551233	2001
Kansas	8.779486628	0.027315749	1.565306009	0.391134335	2002
Kansas	9.62307034	0.027759985	1.810610985	0.314008084	2003
Kansas	9.540076842	0.02433055	2.109379431	0.382984828	2004
Kansas	10.94959049	0.026171216	2.197041968	0.381530938	2005
Kansas	11.1781055	0.027626791	3.302924554	0.373603757	2006
Kansas	13.39360328	0.023231537	4.182694392	0.424458408	2007
Kansas	16.80789221	0.022085516	4.055625424	0.404349173	2008
Kansas	12.2716398	0.023496339	4.642041216	0.294814056	2009
Kansas	13.06667531	0.021598386	5.206644488	0.415226933	2010
Kansas	13.10077026	0.021984429	3.599724497	0.45329608	2011
Kansas	12.06884785	0.028820168	2.802554812	0.512495068	2012
Kansas	11.85971267	0.025206117	2.058358808	0.437102334	2013
Kansas	11.0309246	0.02518004	1.739630673	0.264176037	2014
Kansas	11.04881083	0.025338416	1.546777449	0.285506671	2015
Kansas	11.58227305	0.022839818	1.085574148	0.254271807	2016
Kentucky	12.67438861	0.028887813	4.787189543	0.178662628	2000
Kentucky	12.55444373	0.030233282	4.05971018	0.130278396	2001
Kentucky	11.07469403	0.032020809	2.930079489	0.129297769	2002
Kentucky	10.85226563	0.032984433	3.526529227	0.103552243	2003
Kentucky	14.10820124	0.015324061	1.520121976	0.351466244	2013
Kentucky	11.46021739	0.020485859	1.449072012	0.26168554	2014
Kentucky	7.868658326	0.023671642	0.553036456	0.269947912	2015
Louisiana	17.34607424	0.023755951	3.664487372	0.758775426	2000
Louisiana	17.35923877	0.022977722	3.689118728	0.823653831	2001
Louisiana	17.99676322	0.021032043	2.605458559	0.712044333	2002
Louisiana	15.56250225	0.020968978	3.379993417	0.659706731	2003
Louisiana	15.81622602	0.022231992	3.465819449	0.564237847	2004
Louisiana	14.39962953	0.025390379	3.758536721	0.468900494	2005
Louisiana	14.99175221	0.022960394	3.44095109	0.369766013	2006
Louisiana	15.19911692	0.022392932	2.573834332	0.382013406	2007
Louisiana	13.11445545	0.021679028	2.397514972	0.285544642	2008
Louisiana	12.87514347	0.022424953	1.905434305	0.219816584	2009
Louisiana	12.69854283	0.025291603	1.364606	0.24704183	2010
Louisiana	11.66570671	0.025233942	1.242986377	0.221762628	2011
Louisiana	11.40054294	0.024979115	0.83492998	0.219439344	2012
Louisiana	9.644705094	0.023653811	0.641808372	0.204638133	2013
Louisiana	10.48086921	0.023334157	1.259480079	0.268198378	2014
Louisiana	9.380472675	0.023539777	1.077517994	0.218980755	2015
Louisiana	12.91140163	0.026846491	1.103548447	0.230932377	2016
Maine	2.336910172	0.026278697	0.830939921	0.178743986	2006
Maine	2.800110227	0.026452496	0.771299408	0.173373499	2007
Maine	5.859293306	0.023858373	1.200774898	0.163593138	2008
Maine	6.680511959	0.023028466	1.831945941	0.20699976	2009
Maine	6.158308673	0.026195181	0.935770908	0.253091131	2010
Maine	5.594337943	0.024516357	0.821899954	0.23291655	2011
Maine	6.060695173	0.02458718	0.758037053	0.287265965	2012
Maine	3.914201793	0.027136047	0.844305513	0.221742505	2013
Maine	3.583531712	0.024984126	0.541090095	0.214064537	2014
Maine	5.02776816	0.024414945	0.844269859	0.246703302	2015
Maine	6.55690907	0.028196734	0.319879294	0.298627196	2016
Maryland	11.5302036	0.033159006	3.940766908	0.356395975	2006
Maryland	12.6877243	0.024668937	3.229931517	0.378768594	2007
Maryland	12.61359061	0.023614632	2.78789149	0.383733601	2008
Maryland	11.53744153	0.024595545	2.524482326	0.462294489	2009
Maryland	13.05100281	0.02837839	2.162192773	0.393148648	2010
Maryland	12.94889615	0.026296115	2.004973658	0.302403441	2011
Maryland	10.18303461	0.025613922	1.148149282	0.244041926	2012
Maryland	9.745172933	0.025447249	0.943432576	0.225762317	2013
Maryland	6.946089492	0.028043254	1.064636447	0.195648102	2014
Maryland	7.424239198	0.028044404	0.886650668	0.214170794	2015
Maryland	9.200685739	0.027408578	0.708415515	0.245990239	2016
Massachusetts	24.04843376	0.019194231	5.879923554	0.295365673	2001
Massachusetts	22.54442509	0.022287305	4.533973276	0.472145295	2002
Massachusetts	22.49630991	0.019212315	6.010301808	0.616338795	2003
Massachusetts	16.82070401	0.020858251	3.652434137	0.197108073	2004
Massachusetts	18.64907961	0.020080341	1.967983685	0.270397066	2005
Massachusetts	18.67690044	0.017630242	2.416489389	0.4548379	2006
Massachusetts	19.69718242	0.018517331	3.157533207	0.36375329	2007
Massachusetts	19.67869036	0.020513362	2.310808553	0.173759578	2008
Massachusetts	18.04838471	0.021127416	2.147465443	0.286534507	2009
Massachusetts	17.07195662	0.022184193	1.563720787	0.280479547	2010
Massachusetts	18.52994434	0.020850772	1.263448607	0.288457805	2011
Massachusetts	15.80814152	0.020715819	1.10333654	0.27748388	2012
Massachusetts	17.47634543	0.021579116	1.082284195	0.273855136	2013
Massachusetts	15.5712308	0.021383966	1.010698031	0.27614854	2014
